Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen
My Little Greek Deli,Miami,Mediterránea,Económico,€,+1 305-863-9857,"195 Westward Dr, Miami Springs, FL 33166-5257",91 opiniones,"4,5",http://www.mylittlegreekdeli.com/,http://www.mylittlegreekdeli.com/menu.html,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/13/23/6e/09/dining-counter.jpg
New York Roma Pizza & Pasta,Miami,Italiana,Económico,€,+1 305-476-6018,"125 SE 2 Ave, Miami, FL 33131-1501",68 opiniones,"3,5",No disponible,No disponible,tomaseuvind@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/10/59/ce/54/metade-mussarela-e-outra.jpg
P.Pole Pizza,Miami,Italiana,Económico,€,+1 786-453-2132,"701 Washington Ave, Miami Beach, FL 33139-6209",7 opiniones,"5,0",http://ppolepizza.com/,https://ppolepizza.com/,contact@ppolepizza.com,https://media-cdn.tripadvisor.com/media/photo-p/23/11/4b/ce/ppole-pizza-logo.jpg
P.Pole Pizza,Miami,Italiana,Económico,€,+1 786-618-5287,"279 Miracle Mile, Coral Gables, FL 33134",16 opiniones,"5,0",No disponible,No disponible,contact@ppolepizza.com,https://media-cdn.tripadvisor.com/media/photo-p/13/49/b0/47/ppole-pizza-brand.jpg
Pandoree Cafe & Deli,Miami,Francesa,Económico,€,+1 786-615-5956,"195 NW 36th St, Miami, FL 33127-3107",38 opiniones,"4,5",No disponible,No disponible,pandoreemiami@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/12/f6/d6/a3/pandoree-restaurant-bakery.jpg
Paseo Catracho,Miami,Española,Económico,€,+1 305-854-2705,"824 SW 8th St, Miami, FL 33130-3704",37 opiniones,"4,5",https://www.facebook.com/Paseo-Catracho-828000400575415/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/12/7b/cf/cf/photo0jpg.jpg
Pega Grill,Miami,Mediterránea,Económico,€,+1 305-808-6666,"15 E Flagler St, Miami, FL 33131-1003",14 opiniones,"4,0",http://www.pegagrill.com/,https://www.pegagrill.com/menu/,info@pegagrill.com,https://media-cdn.tripadvisor.com/media/photo-s/1d/c9/74/ef/delicious-flavors-of.jpg
Pita Fresh,Miami,Mediterránea,Económico,€,+1 786-616-8107,"7758 N Kendall Dr, Miami, FL 33156-7523",5 opiniones,"4,0",http://www.pitafreshfl.com/,No disponible,No disponible,No disponible
Pizza Bar Downtown,Miami,Italiana,Económico,€,+1 305-350-7760,"228 SE 1st St, Miami, FL 33131-1902",8 opiniones,"4,0",No disponible,No disponible,backstage@pizzabar.com,https://media-cdn.tripadvisor.com/media/photo-s/09/39/62/9e/pizza-bar-downtown.jpg
Pizza De Miami,Miami,Italiana,Económico,€,+1 305-603-7209,"601 Collins Ave Bay 5 in between Collins & Ocean Dr, Miami Beach, FL 33139-6213",7 opiniones,"4,0",http://www.pizza-de-miami.com/,http://www.pizza-de-miami.com/,pizzademiami@hotmail.com,https://media-cdn.tripadvisor.com/media/photo-s/18/24/93/88/32-margarita-slices.jpg
Pizza Fiore,Miami,Italiana,Económico,€,+1 305-672-2400,"1653 Washington Ave, Miami Beach, FL 33139-3182",33 opiniones,"3,5",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34439-d432082-Reviews-Pizza_Fiore-Miami_Beach_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/e0/0f/5b/cartoes-sao-aceitos.jpg
Pizza Johny's,Miami,Italiana,Económico,€,+1 305-364-5574,"9529 SW 72nd St, Miami, FL 33173-3247",28 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/3e/ce/bd/photo3jpg.jpg
Pizza Rustica,Miami,Italiana,Económico,€,+1 305-674-8244,"863 Washington Ave, Miami Beach, FL 33139-5802",769 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1d/66/39/a7/margherita-pizza.jpg
Pizza Rustica,Miami,Italiana,Económico,€,+1 786-787-2378,"50 Biscayne Blvd CU9, Miami, FL 33132-2905",116 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/3e/b9/72/chocolate-sweet-cannons.jpg
Pop's Pizza and Subs,Miami,Italiana,Económico,€,+1 305-636-0909,"4865 NW 37th Ave, Miami, FL 33142",41 opiniones,"3,0",https://www.popspizzasubs.com/,https://www.tripadvisor.es/Restaurant_Review-g34438-d4207876-Reviews-Pop_s_Pizza_and_Subs-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/19/f2/27/4d/pizza.jpg
Prima Classe,Miami,Italiana,Económico,€,+1 305-763-8431,"842 1st St, Miami Beach, FL 33139-6705",14 opiniones,"4,0",http://www.primaclasse.com/,http://www.primaclasse.com/menu/,info@primaclasse.com,https://media-cdn.tripadvisor.com/media/photo-s/16/e5/76/63/yum.jpg
Pucci's Pizza,Miami,Italiana,Económico,€,+1 305-358-8881,"888 Biscayne Blvd, Miami, FL 33132-1550",117 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/11/50/aa/da/20171118-200031-largejpg.jpg
Pummarola Coral Gables,Miami,Italiana,Económico,€,+1 786-409-6866,"141 Aragon Ave, Coral Gables, FL 33134-5424",154 opiniones,"4,5",http://pummarola.us/,https://www.pummarola.us/,info@pummarola.us,https://media-cdn.tripadvisor.com/media/photo-s/1c/67/5a/dd/casual-and-fun.jpg
Rice Mediterranean Kitchen,Miami,Mediterránea,Económico,€,+1 305-755-9588,"50 SW 10th St, Miami, FL 33130-4128",58 opiniones,"4,5",http://www.ricekitchen.com/,https://www.tripadvisor.es/Restaurant_Review-g34438-d3838124-Reviews-Rice_Mediterranean_Kitchen-Miami_Florida.html#,customerservice@ricekitchen.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/02/5b/87/rice-bowl.jpg
Rigatti's Cafe,Miami,Italiana,Económico,€,+1 305-377-1672,"100 S Miami Ave, Miami, FL 33130-1627",14 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/ce/2a/d1/chicken-marsala.jpg
Sabor a Colombia,Miami,Española,Económico,€,+1 786-409-3678,"10636 Fontainebleau Blvd, Miami, FL 33172-3117",12 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-w/1a/5f/c5/2b/photo0jpg.jpg
Safron Grill,Miami,Mediterránea,Económico,€,+1 305-397-8118,"1049 Washington Ave, Miami Beach, FL 33139-5017",204 opiniones,"4,5",http://safronmediterraneangrill.com/,http://eat24hrs.com/restaurants/order2/menu.php?id=63225,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/16/57/b4/2d/smartselect-20190203.jpg
Sbarro,Miami,Italiana,Económico,€,+1 305-718-8211,"11401 NW 12th Street Suite 118, Miami, FL 33172",72 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/b7/40/dc/porciones-gigantes.jpg
Sette Cafe,Miami,Italiana,Económico,€,+1 305-908-2929,"123 SE 2nd Ave, Miami, FL 33131-1501",33 opiniones,"4,5",No disponible,No disponible,info@settemiami.us,https://media-cdn.tripadvisor.com/media/photo-s/11/ea/9b/88/lasagna.jpg
Spris Artisan Pizza,Miami,Italiana,Económico,€,+1 305-576-0999,"3201 N Miami Ave, Miami, FL 33127-3521",87 opiniones,"4,5",No disponible,No disponible,info@sprispizza.com,https://media-cdn.tripadvisor.com/media/photo-p/10/68/3a/2d/more-than-just-pizza.jpg
Steve's Pizza,Miami,Italiana,Económico,€,+1 305-233-4561,"18063 S Dixie Hwy, Miami, FL 33157-5546",63 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/13/e4/88/d8/photo4jpg.jpg
Steve's Pizza West,Miami,Italiana,Económico,€,+1 305-388-5552,"16285 SW 88th St, Miami, FL 33196-4912",25 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/3d/35/54/20170121-141804-largejpg.jpg
T + M Cafe,Miami,Francesa,Económico,€,+1 305-722-5686,"3321 Mary Street, Miami, FL 33133",1 opinión,"5,0",No disponible,No disponible,reservations@tigertailandmary.com,No disponible
Two Brothers Pizza,Miami,Italiana,Económico,€,+1 305-595-7559,"8424 Mills Dr, Miami, FL 33183-4807",25 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/11/fb/6a/84/photo2jpg.jpg
uGOgelato,Miami,Italiana,Económico,€,+1 786-245-8286,"169 SW 7th St, Miami, FL 33130-4519",5 opiniones,"4,5",No disponible,No disponible,ugofirst@ugogelato.com,No disponible
Villa Fresh Italian Kitchen,Miami,Italiana,Económico,€,+1 786-558-5021,"7501 N Kendall Dr Ste 4, Miami, FL 33156",7 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/6b/f7/69/photo0jpg.jpg
Villa Pizza,Miami,Italiana,Económico,€,+1 305-876-4616,"2100 NW 42nd Ave. Miami International Airport Concourse D, Miami, FL 33126",17 opiniones,"3,0",https://www.villaitaliankitchen.com/our-locations,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/10/11/e9/42/antes-de-abordar.jpg
'O Munaciello,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-907-4000,"6425 Biscayne Blvd, Miami, FL 33138-6451",90 opiniones,"4,5",No disponible,No disponible,servicedirectory494@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/9c/85/05/photo0jpg.jpg
1 Beach Club,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-604-6849,"2341 Collins Ave, Miami Beach, FL 33139-1608",112 opiniones,"5,0",http://www.1hotels.com/south-beach/taste/1beachclub,https://www.tripadvisor.es/Restaurant_Review-g34439-d21350901-Reviews-1_Beach_Club-Miami_Beach_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1c/7b/60/04/nice-food-music-atmosphere.jpg
100 Montaditos,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-971-9690,"13440 SW 120 Street Suite 608, Miami, FL 33186-7399",5 opiniones,"2,5",https://us.100montaditos.com/food/,https://us.100montaditos.com/wp-content/uploads/2018/07/catering_menu_4-3.pdf,igarcia@100montaditos.com,No disponible
1st Bistro,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-371-5520,"2 S Biscayne Blvd Ste 104, Miami, FL 33131-1806",6 opiniones,"4,0",No disponible,No disponible,info@1stbistro.com,https://media-cdn.tripadvisor.com/media/photo-s/08/b8/8f/5a/lovely-bistro-friendly.jpg
A La Folie,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-538-4484,"516 Espanola Way west of Washington, Miami Beach, FL 33139-4009",503 opiniones,"4,0",https://www.facebook.com/alafoliecafefrancais/,https://www.tripadvisor.es/Restaurant_Review-g34439-d1174313-Reviews-A_La_Folie-Miami_Beach_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/1c/d5/e2/f3/photo5jpg.jpg
Abba Telavivian Kitchen,Miami,Mediterránea,Moderado-Alto,€€ - €€€,No disponible,"864 Commerce St, Miami Beach, FL 33139-6853",33 opiniones,"4,0",http://www.abbatlv.com/,No disponible,anthoanette@abbatlv.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/e8/98/24/interior.jpg
Al Basha,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-383-1367,"5821 SW 137th Ave, Miami, FL 33183-1105",1 opinión,"5,0",https://www.facebook.com/AlBashaMdlEst/,No disponible,albashaonline@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1c/72/ec/56/al-basha-combo-platter.jpg
Alma Grove,Miami,Española,Moderado-Alto,€€ - €€€,+1 786-502-2155,"3206 Grand Ave, Miami, FL 33133",13 opiniones,"5,0",https://www.almagrove.com/,https://www.almagrove.com/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/c6/d2/28/spanish-cheese-platter.jpg
Amare Ristorante,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-731-6999,"1 Collins Ave, Miami Beach, FL 33139-7480",43 opiniones,"4,0",http://amareristorante.com/,http://amareristorante.com/pages/amare-main-menu,salamare85@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/1c/d7/fa/74/crostata-di-frutta.jpg
Amici's Trattoria Italiana,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-388-3787,"10201 Hammocks Blvd Ste 140, Miami, FL 33196-4712",112 opiniones,"4,5",No disponible,No disponible,info@amicismiami.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/0e/ec/e4/20191117-124809-largejpg.jpg
Amor Di Pasta,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-640-5760,"2320 NE 2nd Ave, Miami, FL 33137",84 opiniones,"4,5",No disponible,No disponible,amordipastainfo@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/a3/fa/a7/20200118-120750-largejpg.jpg
Amor Di Pasta Blue Lagon,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-615-2019,"536 NW 57th Ave, Miami, FL 33126-4813",5 opiniones,"5,0",No disponible,No disponible,amordipasta54a@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/22/89/78/ee/pumpkin-ravioli-with.jpg
Amore Restaurant and Bar,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-200-3216,"94 Miracle Mile, Coral Gables, FL 33134-5404",21 opiniones,"4,5",No disponible,https://www.tripadvisor.es/Restaurant_Review-g34152-d14996009-Reviews-Amore_Restaurant_and_Bar-Coral_Gables_Florida.html#,amoregables@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/26/7d/13/photo1jpg.jpg
Andiamo!,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-762-5751,"5600 Biscayne Blvd, Miami, FL 33137-2635",290 opiniones,"4,5",No disponible,No disponible,servicedirectory494@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/1d/30/55/8e/caption.jpg
Anthony's Coal Fired Pizza,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-455-9200,"2626 Ponce de Leon Blvd, Coral Gables, FL 33134-6054",95 opiniones,"4,5",http://acfp.com/,https://acfp.com/menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/f5/9e/70/photo0jpg.jpg
Arson Miami,Miami,Internacional,Moderado-Alto,€€ - €€€,+1 786-717-6711,"104 NE 2nd Ave, Miami, FL 33132-2509",26 opiniones,"4,5",http://arsonmiami.com/,http://arsonmiami.com/download/menu.pdf,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/17/65/29/3a/photo1jpg.jpg
Astra,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 786-602-3449,"2121 Northwest 2nd Avenue, Miami, FL 33127",84 opiniones,"3,0",https://astramiami.com/,No disponible,servicedirectory494@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/16/84/2e/99/photo0jpg.jpg
Atelier Monnier Bird Road Boutique,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 786-452-7780,"9825 SW 40th St, Miami, FL 33165-3911",2 opiniones,"4,5",No disponible,No disponible,info@ateliermonnier.com,https://media-cdn.tripadvisor.com/media/photo-o/15/40/ea/98/french-toast.jpg
Baccano,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-857-5722,"169 NW 23rd St # 101, Miami, FL 33127-4409",73 opiniones,"4,0",http://baccanomiami.com/,https://www.tripadvisor.es/Restaurant_Review-g34438-d9591178-Reviews-Baccano-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/13/08/c3/83/its-like-you-can-taste.jpg
Barceloneta Miami,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-538-9299,"1400 20th St, Miami Beach, FL 33139-1412",321 opiniones,"4,0",http://www.barcelonetamiami.com/,https://resy.com/cities/mia/barceloneta-tapas-and-gin-bar,info@barcelonetamiami.com,https://media-cdn.tripadvisor.com/media/photo-s/17/b1/1d/a4/avocado-scramble-eggs.jpg
Barmeli69 Greek Restaurant & Wine Bar,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-754-5558,"6927 Biscayne Blvd, Miami, FL 33138-5733",71 opiniones,"4,5",http://www.facebook.com/barmeli69/,No disponible,barmelimiami@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0d/aa/ae/77/photo0jpg.jpg
Barzola Restaurant,Miami,Española,Moderado-Alto,€€ - €€€,+1 305-446-2006,"4860 NW 7th St, Miami, FL 33126-2102",30 opiniones,"3,5",https://www.facebook.com/Barzola-Restaurant-585266284978844/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/54/89/5c/photo0jpg.jpg
Basilico Ristorante,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-871-3585,"5879 NW 36th St, Miami, FL 33166-5712",282 opiniones,"4,5",http://www.basilicomiami.com/,https://www.tripadvisor.es/Restaurant_Review-g34438-d2702794-Reviews-Basilico_Ristorante-Miami_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/15/a2/2e/49/chocolate-cake.jpg
Battubelin,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 786-460-6793,"749 NE 79th St, Miami, FL 33138-4711",47 opiniones,"4,5",No disponible,No disponible,stefano@battubelin.com,https://media-cdn.tripadvisor.com/media/photo-s/16/71/27/19/best-pasta-in-miami.jpg
Bellacapri Italian Restaurant,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-266-1355,"5749 NW 7th St, Miami, FL 33126-3105",138 opiniones,"4,0",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/15/69/d7/90/inside-the-cozy-restaurant.jpg
Biocco Osteria del Mare,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-759-1007,"5599 Biscayne Blvd, Miami, FL 33137-2632",88 opiniones,"4,5",http://www.osteriabaiocco.com/,http://www.osteriabaiocco.com/#menu,info@osteriabaiocco.com,https://media-cdn.tripadvisor.com/media/photo-s/14/b0/b6/ca/main-room.jpg
Braga Restaurant,Miami,Mediterránea,Moderado-Alto,€€ - €€€,+1 305-392-0959,"Coral Way, Miami, FL",11 opiniones,"5,0",http://bragarestaurant.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1d/15/47/95/caption.jpg
Brasserie Brickell Key,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 302-982-8128,"605 Brickell Key Dr, Miami, FL 33131-2622",63 opiniones,"4,5",No disponible,No disponible,brasseriebk@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0a/60/84/63/brasserie-brickell-key.jpg
BRIO Cucina Italiana,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-234-0012,"8888 SW 136th St Suite #380, Miami, FL 33176-5883",277 opiniones,"3,5",No disponible,No disponible,googleanalytics@bbrg.com,https://media-cdn.tripadvisor.com/media/photo-p/12/28/d6/b3/photo1jpg.jpg
Buena Vista Deli,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 305-576-3945,"3252 NE 1st Ave Suite 107, Miami, FL 33137",168 opiniones,"4,0",No disponible,No disponible,buenavistadeli@hotmail.com,https://media-cdn.tripadvisor.com/media/photo-s/14/2b/76/4f/strawberry-tart.jpg
Bugatti Restaurant,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-441-2545,"2504 Ponce de Leon Blvd, Coral Gables, FL 33134-6013",105 opiniones,"4,0",http://www.bugattirestaurant.com/,https://www.tripadvisor.es/Restaurant_Review-g34152-d447610-Reviews-Bugatti_Restaurant-Coral_Gables_Florida.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/12/9e/df/05/photo0jpg.jpg
Cafe Avanti,Miami,Italiana,Moderado-Alto,€€ - €€€,+1 305-538-4400,"732 Arthur Godfrey Rd, Miami Beach, FL 33140-3414",179 opiniones,"4,5",No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/70/46/4a/photo2jpg.jpg
Cafe Bastille,Miami,Francesa,Moderado-Alto,€€ - €€€,+1 786-425-3575,"248 SE 1st St, Miami, FL 33131-1902",350 opiniones,"4,5",No disponible,No disponible,cafebastille@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/3e/da/58/cafe-bastille.jpg
