Restaurante,Ciudad,Categoría,Precio_Conver,Precio,Teléfono,Dirección,Reseñas,Valoración,Web,Menú,Email,Imagen
California Pita & Grill,Los Angeles,Mediterráneo,Económico,$,+1 818-999-1118,"21753 Ventura Blvd, Los Angeles, CA 91364-1835",19 reviews,4.0,http://www.californiapita.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/13/c0/24/db/20180718-115031-largejpg.jpg
Cava,Los Angeles,Mediterráneo,Económico,$,+1 626-389-8775,"345 South Lake Avenue, Pasadena, CA 91101",11 reviews,3.5,No disponible,No disponible,hello@cava.com,https://media-cdn.tripadvisor.com/media/photo-s/15/4a/8a/9f/greens-and-grains-bowl.jpg
Cava Mezze Grill,Los Angeles,Mediterráneo,Económico,$,+1 818-860-7670,"6256 Topanga Canyon Blvd The Village Level 1, Off Erwin Street, Los Angeles, CA 91367",14 reviews,4.5,No disponible,No disponible,hello@cava.com,No disponible
Cavaretta's Italian Groceries,Los Angeles,Mercado de alimentos especializado,Económico,$,+1 818-340-6626,"22045 Sherman Way, Los Angeles, CA 91303-1852",25 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/a5/8e/e7/cavaretta-s-italian-groceries.jpg
Cricca's Italian Deli,Los Angeles,Italiano,Económico,$,+1 818-340-0515,"4876 Topanga Canyon Blvd, Los Angeles, CA 91364-4229",15 reviews,5.0,http://www.criccasitaliandeli.com/,http://www.criccasitaliandeli.com/menu.html,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/c7/76/90/cricca-s-italian-delicatessen.jpg
Cruzer Pizza,Los Angeles,Italiano,Económico,$,+1 323-666-0600,"5051 Hollywood Blvd, Los Angeles, CA 90027",20 reviews,4.5,https://www.cruzerpizza.com/,https://www.cruzerpizza.com/pages/our-menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/0c/ed/5a/hawaiian-pizza-l.jpg
D'Amore's Pizza,Los Angeles,Italiano,Económico,$,+1 310-209-1212,"1136 Westwood Blvd, Los Angeles, CA 90024-3412",7 reviews,3.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d2099104-Reviews-D_Amore_s_Pizza-Los_Angeles_California.html#,No disponible,No disponible
D's Dubai Sauce,Los Angeles,Mediterráneo,Económico,$,+1 323-406-9786,"6510 Hollywood Blvd, Los Angeles, CA 90028-6210",6 reviews,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/af/73/ac/20190807-171614-largejpg.jpg
Deanos Gourmet Pizza,Los Angeles,Italiano,Económico,$,+1 323-935-6373,"6333 W 3rd St, Los Angeles, CA 90036-3109",36 reviews,4.0,http://www.deanospizzala.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d1005519-Reviews-Deanos_Gourmet_Pizza-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/52/e1/42/photo0jpg.jpg
Double Zero,Los Angeles,Italiano,Económico,$,+1 424-280-4672,"1700 Lincoln Blvd Venice Beach, Los Angeles, CA 90291-3968",8 reviews,4.5,https://www.matthewkenneycuisine.com/double-zero-venice-ca-,No disponible,contact@doublezerovenice.com,https://media-cdn.tripadvisor.com/media/photo-s/19/d9/49/be/double-zero.jpg
Drnk,Los Angeles,Italiano,Económico,$,+1 213-625-1345,"2595 S Hoover St RT1, Los Angeles, CA 90007-4801",1 review,5.0,No disponible,No disponible,wazfranchiseventures@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/2f/14/36/drnkcoffeecom.jpg
Eastside Market,Los Angeles,Italiano,Económico,$,+1 213-250-2464,"1013 Alpine St, Los Angeles, CA 90012-1293",39 reviews,4.5,http://esmdeli.com/#,https://www.tripadvisor.com/Restaurant_Review-g32655-d953425-Reviews-Eastside_Market-Los_Angeles_California.html#,Vito@esmdeli.com,https://media-cdn.tripadvisor.com/media/photo-s/0b/b2/66/79/eastside-market.jpg
Enzo's Pizzeria,Los Angeles,Italiano,Económico,$,+1 310-208-3696,"10940 Weyburn Ave, Los Angeles, CA 90024-2809",34 reviews,4.0,http://www.enzospizzeria.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d951061-Reviews-Enzo_s_Pizzeria-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-o/0a/c5/a7/7f/enzo-s-pizzeria.jpg
Fabrique,Los Angeles,Italiano,Económico,$,No disponible,"125 W 5th St, Los Angeles, CA 90013-1417",1 review,4.0,No disponible,No disponible,dmitriy@fabriquecoffee.com,https://media-cdn.tripadvisor.com/media/photo-p/0e/7f/01/ed/fabrique.jpg
Folliero's Italian Food and Pizza,Los Angeles,Italiano,Económico,$,+1 323-254-0505,"5566 N Figueroa St, Los Angeles, CA 90042-4120",19 reviews,4.5,http://www.follieros.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0e/df/44/e0/photo3jpg.jpg
Fresh Brothers Pizza Hollywood,Los Angeles,Italiano,Económico,$,+1 323-962-6262,"1923 N Bronson Ave, Los Angeles, CA 90068-5601",13 reviews,4.5,http://freshbrothers.com/location/hollywood/,https://www.freshbrothers.com/menu/,debbie@freshbrothers.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/b9/23/49/gluten-free-cheese.jpg
George's Greek Grill,Los Angeles,Mediterráneo,Económico,$,+1 213-260-2358,"350 S. Grand Avenue Unit D3, Los Angeles, CA 90071",12 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/10/08/23/d1/patios-del-water-court.jpg
Giamela's Submarine Sandwiches,Los Angeles,Italiano,Económico,$,+1 818-845-6611,"216 W Magnolia Blvd, Burbank, CA 91502-1724",26 reviews,4.5,http://www.giamelas.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0c/84/21/0b/20160813-144720-largejpg.jpg
Giuliano's Delicatessen,Los Angeles,Mercado de alimentos especializado,Económico,$,+1 310-323-6990,"1138 W Gardena Blvd, Gardena, CA 90247-4824",107 reviews,5.0,No disponible,No disponible,therealgiulianos@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/07/16/b6/5b/deli-area.jpg
Glenoaks Deli,Los Angeles,Italiano,Económico,$,+1 818-334-3196,"621 E Glenoaks Blvd Ste A, Glendale, CA 91207-1771",1 review,5.0,No disponible,No disponible,glenoaksdeliandpizza@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/91/5d/1f/barbecue-chicken-pizza.jpg
Grandi Italiani,Los Angeles,Italiano,Económico,$,+1 747-230-8081,"21730 Sherman Way, Los Angeles, CA 91303-1931",10 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/90/a2/ca/grandi-italiani-canoga.jpg
Greco's New York Pizzaria,Los Angeles,Italiano,Económico,$,+1 818-344-2290,"19325 Ventura Boulevard, Los Angeles, CA 91356",4 reviews,3.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d4982871-Reviews-Greco_s_New_York_Pizzaria-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/10/4c/fb/08/family-owned-and-operated.jpg
Greenwich Village Pizzeria,Los Angeles,Italiano,Económico,$,+1 310-278-2003,"8937 Santa Monica Blvd, West Hollywood, CA 90069-4912",11 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/af/7d/97/greenwich-village-pizzeria.jpg
Hard Times Pizza,Los Angeles,Italiano,Económico,$,+1 213-413-1900,"1311 Glendale Blvd, Los Angeles, CA 90026-2575",1 review,5.0,http://www.hardtimespizza.com/,No disponible,emailhardtimes@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0c/3c/b6/8d/my-91-year-old-brooklyn.jpg
Healthy Bites,Los Angeles,Mediterráneo,Económico,$,+1 818-508-0008,"3511 W Magnolia Blvd, Burbank, CA 91505-2912",8 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/df/7c/81/gorgeous-grounds-and.jpg
Hey That's Amore,Los Angeles,Italiano,Económico,$,+1 626-844-8716,"27 E Holly St, Pasadena, CA 91103-3906",7 reviews,4.5,http://www.facebook.com/HeyThatsAmorePasadena/,No disponible,No disponible,No disponible
Hummus Republic,Los Angeles,Mediterráneo,Económico,$,+1 310-414-9606,"827 N Douglas St, Los Angeles, CA 90245-2801",12 reviews,4.5,No disponible,No disponible,hummusrepo3@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/1b/4c/0a/ad/vegan.jpg
Hy Mart Sandwiches,Los Angeles,Mediterráneo,Económico,$,+1 818-506-7264,"4795 Vineland Ave, Los Angeles, CA 91602-3545",3 reviews,5.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/47/41/dc/hy-mart-sandwiches.jpg
IHOP,Los Angeles,Italiano,Económico,$,+1 323-291-0001,"3625 Stocker St, Los Angeles, CA 90008-2503",6 reviews,4.0,http://www.ihop.com/,http://www.ihop.com/en/menu,No disponible,No disponible
Italian Express,Los Angeles,Italiano,Económico,$,+1 310-208-5572,"10845 Lindbrook Dr, Los Angeles, CA 90024-3042",21 reviews,4.5,https://www.italianexpresspizzala.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0d/9d/36/02/20161112-221858-largejpg.jpg
Joe Peep's New York Pizza,Los Angeles,Italiano,Económico,$,+1 818-506-4133,"12460 Magnolia Blvd, Los Angeles, CA 91607-2451",43 reviews,4.0,http://joepeeps.com/,http://www.joepeeps.com/,joepeepsnypizza@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/18/14/4e/ab/make-slices-your-way.jpg
Joe's Pizza,Los Angeles,Italiano,Económico,$,+1 231-988-8848,"613 S Spring St, Los Angeles, CA 90014-1902",7 reviews,4.5,http://www.joespizza.it/,https://joespizza.it/menu/,info@joespizza.it,https://media-cdn.tripadvisor.com/media/photo-s/12/a1/1a/db/joe-s-pizza.jpg
Johnnies,Los Angeles,Italiano,Económico,$,+1 310-821-1224,"2805 Abbot Kinney Blvd Space B, Los Angeles, CA 90291",36 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d350296-Reviews-Johnnies-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/24/25/0a/9f/think-crust.jpg
Kabab & More,Los Angeles,Mediterráneo,Económico,$,+1 213-955-6162,"663 S Hill St Suite M105, Los Angeles, CA 90014-4022",6 reviews,4.5,http://kababnmore.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d4369312-Reviews-Kabab_More-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/09/64/07/1f/photo0jpg.jpg
Kabab Way,Los Angeles,Mediterráneo,Económico,$,+1 818-242-3150,"919 S Glendale Ave, Glendale, CA 91205-5675",9 reviews,4.0,http://www.kababway.com/,https://www.kababway.com/menu/,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/17/e1/98/3c/combo-plate.jpg
King of New York Pizzeria Pub,Los Angeles,Italiano,Económico,$,+1 213-389-3500,"3281 Wilshire Blvd, Los Angeles, CA 90010-1401",12 reviews,4.5,http://www.konypizzeria.com/,http://www.konypizzeria.com/#our_menu,konypizzeria@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/11/15/89/fe/photo3jpg.jpg
La Casa Eatery,Los Angeles,Italiano,Económico,$,+1 323-366-6363,"16067 Vanowen St, Los Angeles, CA 91406-4810",0 reviews,No disponible,http://www.lacasaeaterymenu.com/?utm_source=organic_tripadvisor&utm_medium=ta_website,https://slicelife.com/restaurants/ca/van-nuys/91406/la-casa-eatery/menu?utm_source=organic_tripadvisor&utm_medium=ta_menu,lacasaea46986@gmail.com,https://media-cdn.tripadvisor.com/media/photo-p/19/a3/10/ca/sandwich.jpg
Lamajoon Mediterranean,Los Angeles,Mediterráneo,Económico,$,+1 323-727-7102,"150 Citadel Dr, Commerce, CA 90040-1584",14 reviews,3.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/15/17/30/79/photo0jpg.jpg
Lamonica's New York Pizza,Los Angeles,Italiano,Económico,$,+1 310-208-8671,"1066 Gayley Ave, Los Angeles, CA 90024-3402",48 reviews,4.0,http://www.lamonicasnypizza.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d348054-Reviews-Lamonica_s_New_York_Pizza-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/05/36/e8/b1/lamonica-s-new-york-pizza.jpg
Leaning Tower Pizza & Pasta,Los Angeles,Italiano,Económico,$,+1 818-986-9701,"14120 Ventura Blvd, Los Angeles, CA 91423-2779",4 reviews,4.5,No disponible,No disponible,leaningtowerpizzala@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/06/3c/f4/2e/leaning-tower-pizza-pasta.jpg
Lenzini's Pizza,Los Angeles,Italiano,Económico,$,+1 310-559-8241,"3500 Overland Ave Ste 120, Los Angeles, CA 90034",6 reviews,4.5,https://www.pizzadeliveryculvercityca.com/,https://www.pizzadeliveryculvercityca.com/menu2/,pizza241@yahoo.com,No disponible
Loyola Pizza,Los Angeles,Italiano,Económico,$,+1 310-641-8666,"8412 Lincoln Blvd, Los Angeles, CA 90045-2416",4 reviews,5.0,http://loyolapizza.com/,https://loyolapizza.com/menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/18/5e/c4/df/pepperoni-pizza.jpg
Marios Italian Market,Los Angeles,Mercado de alimentos especializado,Económico,$,+1 818-242-4114,"740 E Broadway, Glendale, CA 91205-1150",31 reviews,4.5,http://mariosdeli.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1c/77/99/10/old-school-since-1961.jpg
Martini's Italian Deli,Los Angeles,Italiano,Económico,$,+1 310-670-6551,"6503 S Sepulveda Blvd, Los Angeles, CA 90045-1524",5 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/06/fe/aa/94/martini-s-italian-deli.jpg
Marukai,Los Angeles,Mercado de alimentos especializado,Económico,$,+1 213-893-7200,"123 Astronaut E S Onizuka St Ste 101, Los Angeles, CA 90012-3833",23 reviews,4.0,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/11/d3/7b/bd/photo1jpg.jpg
Mega Grille,Los Angeles,Italiano,Económico,$,+1 424-298-8135,"11028 Washington Blvd, Culver City, CA 90232-3901",20 reviews,4.5,No disponible,No disponible,megapizzagrille@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0e/2c/d1/c7/photo0jpg.jpg
Melrose Cafe,Los Angeles,Italiano,Económico,$,+1 323-928-2296,"1308 N Edgemont St, Los Angeles, CA 90027-5912",23 reviews,4.5,No disponible,No disponible,melrosecafe1@outlook.com,https://media-cdn.tripadvisor.com/media/photo-s/12/b1/5c/e2/melrose-cafe.jpg
Mizlala West Adams,Los Angeles,Mediterráneo,Económico,$,+1 323-433-7137,"5400 W Adams Blvd, Los Angeles, CA 90016-2604",11 reviews,4.0,http://www.instagram.com/mizlala_westadams/?hl=en,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/1a/f2/8f/d8/photo0jpg.jpg
Mo's Place,Los Angeles,Italiano,Económico,$,+1 310-822-6422,"203 Culver Blvd, Los Angeles, CA 90293-7792",19 reviews,4.5,http://www.mosplacepdr.com/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/11/2e/99/ed/posibilidad-de-jugar.jpg
Mulberry Street Pizzeria,Los Angeles,Italiano,Económico,$,+1 310-247-8998,"347 N Canon Dr, Beverly Hills, CA 90210-4704",53 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32070-d802462-Reviews-Mulberry_Street_Pizzeria-Beverly_Hills_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/6f/43/26/photo0jpg.jpg
Mulberry Street Pizzeria,Los Angeles,Italiano,Económico,$,+1 310-247-8100,"240 S Beverly Dr, Beverly Hills, CA 90212-3805",101 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32070-d348027-Reviews-Mulberry_Street_Pizzeria-Beverly_Hills_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/01/e3/0f/fa/interno.jpg
Nazelie's Lebanese Cafe,Los Angeles,Mediterráneo,Económico,$,+1 310-519-9122,"1919 S Pacific Ave, Los Angeles, CA 90731-5529",13 reviews,4.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0f/f9/ae/34/img-20170721-200828719.jpg
NY Crust,Los Angeles,Italiano,Económico,$,+1 323-745-0400,"5421 Santa Monica Blvd Ste C, Los Angeles, CA 90029-2350",0 reviews,No disponible,http://www.nycrustpizzeria.com/?utm_source=organic_tripadvisor&utm_medium=ta_website,https://slicelife.com/restaurants/ca/los-angeles/90029/ny-crust-pizzeria-5421-santa-monica-blvd-los-angeles/menu?utm_source=organic_tripadvisor&utm_medium=ta_menu,No disponible,https://media-cdn.tripadvisor.com/media/photo-p/19/b9/d1/fd/pizza.jpg
Olio Wood Fired Pizzeria GCM,Los Angeles,Italiano,Económico,$,+1 213-680-0010,"317 S Broadway Stall B6-B7, Los Angeles, CA 90013-1222",71 reviews,4.5,http://www.oliogcm.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d7691133-Reviews-Olio_Wood_Fired_Pizzeria_GCM-Los_Angeles_California.html#,oliogcm@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/17/0f/ae/02/photo3jpg.jpg
Original Kabob Factory,Los Angeles,Mediterráneo,Económico,$,+1 818-500-9500,"1700 W Glenoaks Blvd Ste D Unit D, Glendale, CA 91201-1750",18 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32431-d4660024-Reviews-Original_Kabob_Factory-Glendale_California.html#,originalkabob@originalkabob.com,https://media-cdn.tripadvisor.com/media/photo-s/07/de/16/c3/original-kabob-factory.jpg
Original Tony's Italian Deli,Los Angeles,Italiano,Económico,$,+1 818-848-9000,"1124 W Magnolia Blvd, Burbank, CA 91506-1812",8 reviews,5.0,https://www.facebook.com/tonysitaliansandwiches/,https://www.tripadvisor.com/Restaurant_Review-g32123-d4276209-Reviews-Original_Tony_s_Italian_Deli-Burbank_California.html#,info@tonysitaliandeli.net,https://media-cdn.tripadvisor.com/media/photo-p/1b/ce/d6/69/roast-beef-double-decker.jpg
Paradis Sherman Oaks,Los Angeles,Europeo,Económico,$,+1 818-650-8116,"14512 Ventura Blvd, Los Angeles, CA 91403-3771",4 reviews,5.0,http://www.paradis-icecream.com/,No disponible,shermanoaks@paradis-icecream.com,https://media-cdn.tripadvisor.com/media/photo-s/1a/47/ec/57/egg-nog-and-banana-sundae.jpg
Pasta Sisters,Los Angeles,Italiano,Económico,$,+1 323-870-5271,"3343 W Pico Blvd, Los Angeles, CA 90019-4530",66 reviews,4.5,http://www.pastasisters.com/,https://docs.wixstatic.com/ugd/af2956_916de4a9d2ab4e0c89d6a76537df3291.pdf,info@pastasisters.com,https://media-cdn.tripadvisor.com/media/photo-p/15/47/5b/4c/spaghetti-arrabbiata.jpg
Patsy d'Amore's Pizza,Los Angeles,Italiano,Económico,$,+1 323-938-4938,"6333 W 3rd St Ste 448, Los Angeles, CA 90036-3195",18 reviews,4.0,http://thatsdamore.com/patsys_pizza/,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/08/30/c0/17/nice-place-to-eat-at.jpg
Percolate,Los Angeles,Francés,Económico,$,+1 424-293-0934,"11870 Santa Monica Blvd #111, Los Angeles, CA 90025",2 reviews,4.5,No disponible,No disponible,info@percolatetea.com,https://media-cdn.tripadvisor.com/media/photo-s/11/31/4f/fb/our-nameobviously.jpg
Pi On Sunset,Los Angeles,Italiano,Económico,$,+1 310-657-1774,"8828 W Sunset Blvd, West Hollywood, CA 90069-2105",26 reviews,4.0,No disponible,https://www.tripadvisor.com/Restaurant_Review-g33252-d1973455-Reviews-Pi_On_Sunset-West_Hollywood_California.html#,pionsunset8828@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/0c/75/2d/c9/photo1jpg.jpg
Pita Kitchen,Los Angeles,Mediterráneo,Económico,$,+1 818-990-7006,"14500 Ventura Blvd, Los Angeles, CA 91403-3771",29 reviews,4.5,No disponible,https://www.tripadvisor.com/Restaurant_Review-g32655-d468660-Reviews-Pita_Kitchen-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/07/4a/bb/f5/falafel.jpg
Pizza Hut - Sunset Blvd.,Los Angeles,Italiano,Económico,$,+1 213-467-4466,"6660 W Sunset Blvd, Los Angeles, CA 90028-7178",9 reviews,3.5,No disponible,No disponible,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/13/ff/0a/67/3-cheese-stuffed-crust.jpg
Pizza World,Los Angeles,Italiano,Económico,$,+1 323-653-2896,"365 S Fairfax Ave, Los Angeles, CA 90036-3124",13 reviews,4.0,https://www.kosherpizzaworld.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d477345-Reviews-Pizza_World-Los_Angeles_California.html#,pizzaworldla@gmail.com,https://media-cdn.tripadvisor.com/media/photo-s/06/cd/43/7e/pizza-world.jpg
Presto Pasta Granda Hills,Los Angeles,Italiano,Económico,$,+1 818-360-7737,"17923 Chatsworth St, Los Angeles, CA 91344-5606",14 reviews,4.5,http://prestopasta.com/,https://prestopasta.com/menu/,granadahills@prestopasta.com,https://media-cdn.tripadvisor.com/media/photo-s/03/ba/12/1b/presto-pasta-granda-hills.jpg
Quickies Pizza & Subs,Los Angeles,Italiano,Económico,$,+1 818-760-6699,"4362 Laurel Canyon Blvd, Los Angeles, CA 91604-1709",1 review,5.0,No disponible,No disponible,No disponible,No disponible
Raffallo's Pizza,Los Angeles,Italiano,Económico,$,+1 323-851-4022,"1657 N La Brea Ave, Los Angeles, CA 90028-6901",50 reviews,4.0,http://pizzaraffallos.com/,https://www.tripadvisor.com/Restaurant_Review-g32655-d2367248-Reviews-Raffallo_s_Pizza-Los_Angeles_California.html#,No disponible,https://media-cdn.tripadvisor.com/media/photo-s/0b/d9/25/20/bellissimo-mezzogiorno.jpg
Rice,Los Angeles,Italiano,Económico,$,No disponible,"7922 W 3rd St, Los Angeles, CA 90048-4305",0 reviews,No disponible,http://www.riceteriabyrice.com/,No disponible,la@riceteriabyrice.com,No disponible
